Date,Weekday,MinDepth,MaxDepth,NewBaseSnow,NewPeakSnow,Temp,OpenLifts,Lifts,OpenTrails,Trails,SnowCond,RoadCond,WeatherCond,SnowHazard,RoadHazard
'2016-01-14','Thursday',68,70,0,0,31,5,5,35,47,'Powder and Packed Powder conditions','Icy in some spots','Sunshine!  Awesome day!',1,2
'2016-01-15','Friday',69,69,0,0,27,5,5,35,47,'Packed powder','Icy in some spots',"'3""-5"" expected today!'",2,2
'2016-01-16','Saturday',68,68,4,6,28,5,5,35,47,'Packed powder','Icy in some spots','30% chance of snow today!',2,2
'2016-01-17','Sunday',68,68,0,0,26,5,5,35,47,'Packed powder','Icy spots are present but no restrictions','Agassiz lift is on wind hold. All other lifts open until 4:30 p.m.',2,2
'2016-01-18','Monday',68,68,0,0,31,5,5,35,47,'Packed powder','Icy spots are present but no restrictions','Sunny with a high near 43',2,2
'2016-01-19','Tuesday',61,61,0,0,31,5,5,35,47,'Packed powder','Icy spots are present but no restrictions','Cloudy with a high near 38',2,2
'2016-01-20','Wednesday',62,62,1,1,31,5,5,35,47,'Powder and Packed powder','Icy spots are present but no restrictions','Breezy with a high near 37',1,2
'2016-01-22','Friday',62,62,0,0,44,5,5,39,47,'Packed powder','Icy spots are present but no restrictions','Mostly Sunny with a high near 44',2,2
'2016-01-23','Saturday',62,62,0,0,32,5,5,39,47,'Packed powder','Icy spots are present but no restrictions','Mostly Sunny with Increasing Winds in the Afternoon',2,2
'2016-01-25','Monday',62,62,0,0,24,5,5,36,47,'Packed powder','No restrictions','Mostly sunny!',2,0
'2016-01-27','Wednesday',60,60,0,0,27,5,5,36,47,'Packed powder','No restrictions','Mostly sunny!',2,0
'2016-01-28','Thursday',60,60,0,0,25,5,5,36,47,'Packed powder','No restrictions','Mostly sunny',2,0
'2016-01-30','Saturday',60,60,0,0,24,5,5,36,47,'Packed powder','No restrictions','Wind Advisory in Effect from 10am to 7pm!',2,0
'2016-02-01','Monday',69,69,10,13,20,5,5,38,47,'Powder and Packed powder','Chains and or 4x4 required','Heavy snow!',1,4
'2016-02-03','Wednesday',70,70,0,0,11,5,5,38,47,'Powder and Packed Powder','Some Icy Spots','Sunny with moderate winds. Dress Warm!',1,2
'2016-02-04','Thursday',70,70,0,0,12,5,5,38,47,'Powder and Packed Powder','Some Icy Spots','Sunny with moderate winds. Dress Warm!',1,2
'2016-02-05','Friday',68,68,0,0,19,5,5,38,47,'Powder and Packed Powder','Some Icy Spots','Sunny and brisk with moderate winds. Dress Warm!',1,2
'2016-02-07','Sunday',68,68,0,0,28,5,5,38,47,'Powder and Packed Powder','Some Icy Spots','Sunny with light winds',1,2
'2016-02-12','Friday',60,60,0,0,38,5,5,38,47,'Spring like conditions','Clear','Warm and sunny',5,0
'2016-02-14','Sunday',58,58,0,0,38,5,5,38,47,'Spring like conditions','Clear','Warm and sunny moderate winds in the afternoon.',5,0
'2016-02-15','Monday',58,58,0,0,28,5,5,38,47,'Spring like conditions','Clear','Blustery day winds 5-10mph decreasing by afternoon.',5,0
'2016-02-16','Tuesday',56,56,0,0,34,5,5,38,47,'Spring like conditions','Clear','Sunny Winds Increasing By Afternoon.',5,0
'2016-02-17','Wednesday',56,56,0,0,34,5,5,38,47,'Spring like conditions','Clear','Sunny Winds Increasing By Afternoon.',5,0
'2016-02-19','Friday',57,57,0,0,30,5,5,38,47,'Spring like conditions','Clear','Mostly sunny and breezy',5,0
'2016-02-20','Saturday',57,57,0,0,30,5,5,38,47,'Variable Spring-like conditions','Clear','Mostly Sunny',5,0
'2016-02-21','Sunday',57,57,0,0,34,5,5,38,47,'Variable Spring-like conditions','Clear','Beautiful and Sunny Light winds.',5,0
'2016-02-24','Wednesday',56,56,0,0,38,5,5,38,47,'Variable Spring-like conditions','Clear','Sunny with a slight breeze before noon',5,0
'2016-02-25','Thursday',55,55,0,0,37,5,5,38,47,'Variable Spring-like conditions','Clear','Sunny with a slight breeze!',5,0
'2016-02-26','Friday',57,57,0,0,43,5,5,38,47,'Variable Spring-like conditions','Clear','Sunny!',5,0
'2016-02-27','Saturday',57,57,0,0,37,5,5,38,47,'Variable Spring-like conditions','Clear','Sunny!',5,0
'2016-02-28','Sunday',57,57,0,0,40,5,5,39,47,'Variable Spring-like conditions','Clear','Sunny!',5,0
'2016-02-29','Monday',57,57,0,0,36,4,5,39,47,'Variable Spring-like conditions','Clear','Mostly Sunny with a Chance of Light Snow After 11am',5,0
'2016-03-01','Tuesday',57,57,0,0,36,4,5,39,47,'Variable Spring-like conditions','Clear','Mostly Sunny with a Chance of Light Snow After 11am',5,0
'2016-03-02','Wednesday',52,52,0,0,32,4,5,38,47,'Variable Spring-like conditions','Clear','Mostly Sunny with light winds 15-20 mph',5,0
'2016-03-03','Thursday',52,52,0,0,40,4,5,36,47,'Variable Spring-like conditions','Clear','Mostly Sunny with light winds 15-20 mph',5,0
'2016-03-04','Friday',52,52,0,0,35,4,5,37,47,'Variable Spring-like conditions','Clear','Mostly Sunny with winds 10-20 mph',5,0
'2016-03-06','Sunday',52,52,0,0,33,4,5,37,47,'Variable Spring-like conditions','Clear','Light snow throughout the day with winds10-20 mph from the WSW',5,0
'2016-03-07','Monday',53,53,3,3,30,4,5,37,47,'Powder packed powder','chains and or 4 wheel drive is recommended','Light snow throughout the day with winds15-20 mph from the WSW',2,3
'2016-03-08','Tuesday',56,56,1,1,30,4,5,37,47,'Powder packed powder','chains and or 4 wheel drive is recommended','Light snow throughout the day with winds15-25 mph from the NE',2,3
'2016-03-09','Wednesday',54,54,0,0,24,4,5,37,47,'Powder packed powder','Clear','Sunny and breezy. Winds15-25 mph from the north northeast with gusts as high as 31 mph',2,0
'2016-03-10','Thursday',51,51,0,0,31,4,5,37,47,'Powder packed powder','Clear','Sunny and breezy. Slight winds 0-5 mph from the north northeast.',2,0
'2016-03-11','Friday',51,51,0,0,33,4,5,37,47,'Powder packed powder','Clear','Sunny and breezy! Winds 15-25 mph from the south southwest gusting up to 35 mph.',2,0
'2016-03-13','Sunday',55,55,3,3,24,4,5,37,47,'Powder packed powder','Plowed CHAINS or 4WD Recommended','Light snow in the morning until 11 a.m.! Sunny by afternoon and breezy!',2,3
'2016-03-14','Monday',54,54,0,0,30,4,5,36,47,'Powder packed powder','Clear','Sunny and breezy. Winds out of the west at 15-25 mph with gusts up to 30 mph.',2,0
'2016-03-15','Tuesday',54,54,0,0,30,4,5,36,47,'Powder packed powder','Clear','Sunny and breezy. Winds out of the NW 10-20 mph.',2,0
'2016-03-16','Wednesday',54,54,0,0,32,4,5,36,47,'Powder packed powder','Clear','Sunny. Light winds out of the north northeast around 6 mph.',2,0
'2016-03-17','Thursday',52,52,0,0,32,4,5,36,47,'Spring Conditions','Clear','Sunny. Light winds out of the north northeast around 6 mph.',5,0
'2016-03-18','Friday',52,52,0,0,42,4,5,36,47,'Spring Conditions','Clear',"Sunny. Light winds out of the north northeast around 6 mph. It's going to be a great day!",5,0
'2016-03-19','Saturday',52,52,0,0,41,4,5,36,47,'Spring Conditions','Clear',"Sunny. Light variable winds. It's going to be a great day!",5,0
'2016-03-20','Sunday',52,52,0,0,41,4,5,36,47,'Spring Conditions','Clear',"Sunny. Light variable winds. It's going to be a great day!",5,0
'2016-03-21','Monday',52,52,0,0,44,3,5,36,47,'Spring Conditions','Clear','Sunny. Breezy with winds out of the southwest at 15-30 mph with gusts up to 40 mph.',5,0
'2016-03-28','Monday',50,50,0,0,30,0,5,32,47,'Spring Conditions','Clear','Sunny and Breezy! Chance of snow for the remainder of the week!!!!!',5,0
'2016-03-29','Tuesday',50,50,0,0,30,0,5,32,47,'Spring Conditions','Clear','Sunny and Breezy! Chance of snow for the remainder of the week!!!!!',5,0
